;libmarq;typal3;nom_commercial;nomen;numlig;nojour;tyrep;noligne;codgr;sougr;codal;algra;alsuc;enric;diete;rien;typal2;qte_brute;qte_nette
120367;picard formule express;1;x;113543;128106.0;6;5;3.0;38;1;25903;0.0;0.0;0.0;0.0;1.0;3.0;300.0;300.0
120433;x;2;x;113556;128172.0;4;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;250.0;250.0
120562;x;2;x;113556;128301.0;3;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;250.0;250.0
120581;x;2;x;113556;128320.0;2;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
121026;x;2;x;113567;128769.0;7;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
121043;x;2;x;113567;128788.0;1;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
121063;x;2;x;113567;128808.0;4;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
121079;x;2;x;113567;128824.0;3;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
121236;piaccini netto;1;x;113574;128982.0;2;5;3.0;38;1;25903;0.0;0.0;0.0;0.0;1.0;1.0;200.0;200.0
121491;les mazines de provence;1;x;113619;129242.0;1;3;1.0;38;1;25904;0.0;0.0;0.0;0.0;1.0;2.0;300.0;300.0
121550;x;2;x;113619;129302.0;2;5;4.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
121565;x;2;x;113619;129317.0;3;3;2.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
121634;x;2;x;113619;129386.0;6;3;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
121644;neff;1;x;113619;129396.0;6;5;1.0;38;1;25907;0.0;0.0;0.0;0.0;1.0;2.0;300.0;300.0
121813;x;2;x;113624;129566.0;4;5;3.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;350.0;350.0
121938;x;2;x;113624;129691.0;3;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;350.0;350.0
122562;x;2;x;113654;130339.0;7;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
122610;liebig;1;richesse d'automne potiron et châtaignes;113654;130387.0;2;5;3.0;38;1;25945;0.0;0.0;0.0;0.0;1.0;2.0;200.0;200.0
122655;x;2;x;113654;130434.0;4;5;1.0;38;1;25908;0.0;0.0;0.0;0.0;1.0;1.0;200.0;200.0
122726;x;2;x;113656;130511.0;4;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;800.0;800.0
122803;reynaud;1;x;113669;130593.0;3;5;1.0;38;1;25904;0.0;0.0;0.0;0.0;1.0;2.0;300.0;300.0
122845;x;2;x;113669;130635.0;4;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
122863;x;2;x;113669;130653.0;5;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
122955;sveltesse;1;soupe moulinée aux 9 légumes;113674;130745.0;3;5;1.0;38;1;25905;1.0;0.0;0.0;0.0;0.0;4.0;250.0;250.0
122979;sveltesse;1;soupe moulinée aux 9 légumes;113674;130769.0;7;5;1.0;38;1;25905;1.0;0.0;0.0;0.0;0.0;4.0;250.0;250.0
122987;sveltesse;1;soupe moulinée aux 9 légumes;113674;130778.0;4;5;1.0;38;1;25905;1.0;0.0;0.0;0.0;0.0;4.0;250.0;250.0
123061;sveltesse;1;soupe moulinée aux 9 légumes;113674;130852.0;1;5;1.0;38;1;25905;1.0;0.0;1.0;0.0;0.0;2.0;250.0;250.0
123106;x;2;x;113678;130899.0;4;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
123132;x;2;x;113678;130925.0;1;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
123165;x;2;x;113678;130958.0;3;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
123193;x;2;x;113678;130988.0;6;5;1.0;38;2;25947;0.0;0.0;0.0;0.0;1.0;1.0;200.0;200.0
123263;x;2;x;113684;131063.0;2;5;1.0;38;1;25902;0.0;0.0;1.0;0.0;0.0;1.0;300.0;300.0
123281;fiorini;2;x;113684;131081.0;3;5;1.0;38;1;25908;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
